user_id,username,owned_equipment,available_products,taste_pref_bitterness,taste_pref_sweetness,taste_pref_acidity,taste_pref_body,preferred_strength,preferred_portion_size,dietary_restrictions,account_created
user_00000,coffee_fan_0,"[""scale"", ""grinder"", ""kettle"", ""espresso_machine""]","[""sugar"", ""ground_coffee"", ""coconut_milk"", ""water"", ""whole_milk"", ""skim_milk"", ""almond_milk"", ""coffee_beans""]",0.7736826116788027,0.3402907462274168,0.4546561701631407,0.8759807856805509,5,small,[],2024-01-25T00:00:00
user_00001,coffee_master_1,"[""scale"", ""espresso_machine"", ""blender"", ""grinder"", ""kettle""]","[""sugar"", ""ground_coffee"", ""heavy_cream"", ""oat_milk"", ""water"", ""skim_milk"", ""coffee_beans""]",0.7008252580269865,0.23928558163229552,0.42254899384866046,0.7881053447408637,4,small,[],2024-03-02T00:00:00
user_00002,java_lover_2,"[""scale"", ""grinder"", ""kettle"", ""espresso_machine""]","[""sugar"", ""ground_coffee"", ""honey"", ""heavy_cream"", ""brown_sugar"", ""water"", ""coffee_beans"", ""vanilla_syrup""]",0.851551521648293,0.0,0.49920954846267634,0.8773842398308456,4,small,[],2024-04-27T00:00:00
user_00003,user_3,"[""scale"", ""espresso_machine"", ""blender"", ""grinder"", ""kettle""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""oat_milk"", ""coconut_milk"", ""brown_sugar"", ""water"", ""whole_milk"", ""almond_milk"", ""coffee_beans"", ""ice"", ""vanilla_syrup""]",0.7914616285026703,0.20786616338151667,0.5087962896331002,0.8719584927179944,4,small,[],2024-03-15T00:00:00
user_00004,bean_fan_4,"[""scale"", ""grinder"", ""kettle"", ""espresso_machine""]","[""sugar"", ""ground_coffee"", ""heavy_cream"", ""oat_milk"", ""cinnamon"", ""water"", ""whole_milk"", ""skim_milk"", ""coffee_beans"", ""vanilla_syrup"", ""hazelnut_syrup""]",0.822982878901553,0.3308914542082771,0.6425328943470305,0.6873915511373483,4,small,[],2024-03-12T00:00:00
user_00005,latte_master_5,"[""scale"", ""kettle"", ""espresso_machine"", ""french_press""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""caramel_syrup"", ""heavy_cream"", ""oat_milk"", ""brown_sugar"", ""water"", ""coffee_beans""]",0.6406262938283329,0.25269057463206196,0.30784954694513617,0.9628991100962017,4,small,[],2024-11-26T00:00:00
user_00006,cafe_hunter_6,"[""scale"", ""espresso_machine"", ""grinder"", ""kettle"", ""cold_brew_maker""]","[""sugar"", ""ground_coffee"", ""honey"", ""cinnamon"", ""water"", ""almond_milk"", ""coffee_beans"", ""hazelnut_syrup""]",0.7985093868497113,0.17383883748374251,0.49113860547468324,0.8069541666538042,4,small,[],2024-04-08T00:00:00
user_00007,espresso_addict_7,"[""scale"", ""grinder"", ""kettle"", ""espresso_machine""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""coconut_milk"", ""brown_sugar"", ""water"", ""coffee_beans"", ""vanilla_syrup"", ""hazelnut_syrup""]",0.8125675571596154,0.023545800805208572,0.6777182840257725,0.9158797368366193,4,small,[],2024-12-05T00:00:00
user_00008,user_8,"[""ice_maker"", ""grinder"", ""kettle"", ""espresso_machine""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""heavy_cream"", ""oat_milk"", ""chocolate_syrup"", ""coconut_milk"", ""water"", ""whole_milk"", ""skim_milk"", ""almond_milk"", ""coffee_beans"", ""ice"", ""hazelnut_syrup""]",1.0,0.18664511465715505,0.5583108135657743,0.800714023110444,3,small,[],2024-05-08T00:00:00
user_00009,barista_hunter_9,"[""scale"", ""espresso_machine"", ""blender"", ""grinder"", ""kettle""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""coconut_milk"", ""water"", ""whole_milk"", ""coffee_beans"", ""hazelnut_syrup""]",0.8370822770366639,0.06954733697751864,0.3191855953129254,1.0,4,small,[],2024-12-04T00:00:00
user_00010,espresso_hunter_10,"[""scale"", ""espresso_machine"", ""grinder"", ""pour_over"", ""kettle""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""heavy_cream"", ""chocolate_syrup"", ""coconut_milk"", ""water"", ""coffee_beans""]",0.8759114849334736,0.14050346894073282,0.46678314701609946,1.0,4,small,[],2024-04-29T00:00:00
user_00011,user_11,"[""scale"", ""espresso_machine"", ""grinder"", ""kettle"", ""moka_pot""]","[""sugar"", ""ground_coffee"", ""water"", ""coffee_beans"", ""ice"", ""hazelnut_syrup""]",0.7734431116482098,0.0,0.39976242542337825,0.6759497010972184,4,small,[],2024-05-09T00:00:00
user_00012,roast_master_12,"[""scale"", ""grinder"", ""kettle"", ""espresso_machine""]","[""sugar"", ""ground_coffee"", ""honey"", ""coconut_milk"", ""brown_sugar"", ""water"", ""almond_milk"", ""coffee_beans""]",0.6400341654155659,0.17342983603768977,0.5150921526806496,0.9079281971320933,5,small,[],2024-07-23T00:00:00
user_00013,user_13,"[""grinder"", ""kettle"", ""espresso_machine""]","[""cocoa_powder"", ""sugar"", ""ground_coffee"", ""honey"", ""caramel_syrup"", ""heavy_cream"", ""whipped_cream"", ""coconut_milk"", ""cinnamon"", ""water"", ""almond_milk"", ""coffee_beans""]",0.565366298887952,0.10445187511451826,0.5416368148138955,0.7409552747449522,4,small,[],2024-06-06T00:00:00
user_00014,user_14,"[""scale"", ""grinder"", ""kettle"", ""espresso_machine""]","[""sugar"", ""ground_coffee"", ""whipped_cream"", ""heavy_cream"", ""oat_milk"", ""coconut_milk"", ""water"", ""almond_milk"", ""coffee_beans"", ""vanilla_syrup"", ""hazelnut_syrup""]",0.8868784631903563,0.15559393501324006,0.5496120708088785,0.8866332933650043,4,small,[],2024-03-12T00:00:00
